name,content
PasteDeploy,"protocol,one,specification,entry points,Contents,Documents:,Paste Deployment is a system for finding and configuring WSGI
applications and servers.  For WSGI application consumers it provides
a single, simple function (,) for loading a WSGI application
from a configuration file or a Python Egg.  For WSGI application
providers it only asks for a single, simple entry point to your
application, so that application users don't need to be exposed to the
implementation details of your application.,The result is something a system administrator can install and manage
without knowing any Python, or the details of the WSGI application or
its container.,Paste Deployment currently does not require other parts of ,, and is distributed as a separate package.,To see updates that have been made to Paste Deploy see the ,.,Paste Deploy is released under the ,.,Paste Deploy has passed version 1.0.  Paste Deploy is an actively
maintained project.  As of 1.0, we'll make a strong effort to maintain
backward compatibility (this actually started happening long before
1.0, but now it is explicit).  This will include deprecation warnings
when necessary.  Major changes will take place under new functions or
with new entry points.,Note that the most key aspect of Paste Deploy is the entry points it
defines (such as ,).  Paste Deploy is not the only
consumer of these entry points, and many extensions can best take
place by utilizing the entry points instead of using Paste Deploy
directly.  The entry points will not change; if changes are necessary,
new entry points will be defined.,First make sure you have either
, or its
modern replacement
, installed.
For Python 3.x you need distribute as setuptools does not work on it.,Then you can install Paste Deployment using , by running:,If you want to track development, do:,This will install the package locally, and will load the files in the
checkout.  You can also simply install ,.,For downloads and other information see the ,.,A complementary package is ,.
To install that, use , (or ,).,In the following sections, the Python API for using Paste Deploy is
given.  This isn't what users will be using (but it is useful for
Python developers and useful for setting up tests fixtures).,The primary interaction with Paste Deploy is through its configuration
files.  The primary thing you want to do with a configuration file is
serve it.  To learn about serving configuration files, see , command
<,>`_.,A config file has different sections.  The only sections Paste Deploy
cares about have prefixes, like , or , --
the part after the , is the ""name"" of the section, and the part
before gives the ""type"".  Other sections are ignored.,The format is a simple ,: ,.  You can
extend the value by indenting subsequent lines.  , is a comment.,Typically you have one or two sections, named ""main"": an application
section (,) and a server section (,).
, signifies something that dispatches to multiple
applications (example below).,Here's a typical configuration file that also shows off mounting multiple applications:,I'll explain each section in detail now:,That this is a , section means it dispatches the request
to other applications.  , means to use the
composite application named , from the , package.
, is a particularly common composite application -- it uses a
path prefix to map your request to another application.  These are
the applications like ""home"", ""blog"", ""wiki"" and ""config:cms.ini"".  The last
one just refers to another file , in the same directory.,Next up:, is another simple application, in this case it
just serves up non-dynamic files.  It takes one bit of configuration:
,.  You can use variable substitution, which will pull
variables from the section , (case sensitive!) with
markers like ,.  The special variable , is
the directory containing the configuration file; you should use that
in lieu of relative filenames (which depend on the current directory,
which can change depending how the server is run).,Then:,The , section means that you want an application
with a filter applied.  The application being filtered is indicated
with , (which refers to the next section).  The
, filter doesn't actually exist, but one
could imagine it logs people in and checks permissions.,That last section is just a reference to an application that you
probably installed with ,, and one bit of
configuration you passed to it (,).,Lastly:,This section is similar to the previous one, with one important difference.
Instead of an entry point in an egg, it refers directly to the ,
variable in the , module. The reference consist of two parts,
separated by a colon. The left part is the full name of the module and the
right part is the path to the variable, as a Python expression relative to the
containing module.,So, that's most of the features you'll use.,The basic way you'll use Paste Deployment is to load , applications.  Many
Python frameworks now support WSGI, so applications written for these
frameworks should be usable.,The primary function is ,.  This loads an
application given a URI.  You can use it like:,There's two URI formats currently supported: , and ,.,URIs that being with , refer to configuration files.  These
filenames can be relative if you pass the , keyword
argument to ,.,Note,Filenames are never considered relative to the current working
directory, as that is an unpredictable location.  Generally when
a URI has a context it will be seen as relative to that context;
for example, if you have a , URI inside another
configuration file, the path is considered relative to the
directory that contains that configuration file.,Configuration files are in the INI format.  This is a simple format
that looks like:,All values are strings (no quoting is necessary).  The keys and
section names are case-sensitive, and may contain punctuation and
spaces (though both keys and values are stripped of leading and
trailing whitespace).  Lines can be continued with leading whitespace.,Lines beginning with , (preferred) or , are considered
comments.,You can define multiple applications in a single file; each
application goes in its own section.  Even if you have just one
application, you must put it in a section.,Each section name defining an application should be prefixed with
,.  The ""main"" section (when just defining one application)
would go in , or just ,.,There's two ways to indicate the Python code for the application.  The
first is to refer to another URI or name:,It would seem at first that this was pointless; just a way to point to
another location.  However, in addition to loading the application
from that location, you can also add or change the configuration.,The other way to define an application is to point exactly to some
Python code:,You must give an explicit , (in this case
,), and the value is something to import.  In
this case the module , is loaded, and the
, object retrieved from it.,See , for more about the protocols.,Configuration is done through keys besides , (or the protocol
names).  Any other keys found in the section will be passed as keyword
arguments to the factory.  This might look like:,You can override these in other sections, like:,This way some settings could be defined in a generic configuration
file (if you have ,) or you can
publish multiple (more specialized) applications just by adding a
section.,Often many applications share the same configuration.  While you can
do that a bit by using other config sections and overriding values,
often you want that done for a bunch of disparate configuration
values.  And typically applications can't take ""extra"" configuration
parameters; with global configuration you do something equivalent to
""if this application wants to know the admin email, this is it"".,Applications are passed the global configuration separately, so they
must specifically pull values out of it; typically the global
configuration serves as the basis for defaults when no local
configuration is passed in.,Global configuration to apply to every application defined in a file
should go in a special section named ,.  You can override
global configuration locally like:,That is, by using , in front of the key.,""Composite"" applications are things that act like applications, but
are made up of other applications.  One example would be a URL mapper,
where you mount applications at different URL paths.  This might look
like:,The composite application ""main"" is just like any other application
from the outside (you load it with , for instance), but it
has access to other applications defined in the configuration file.,In addition to sections with ,, you can define filters and
servers in a configuration file, with , and ,
prefixes.  You load these with , and ,.  The
configuration works just the same; you just get back different kinds
of objects.,There are several ways to apply filters to applications.  It mostly
depends on how many filters, and in what order you want to apply them.,The first way is to use the , setting, like:,Also, two special section types exist to apply filters to your
applications: , and ,.  Both of
these sections define applications, and so can be used wherever an
application is needed., defines a filter (just like you would in a
, section), and then a special key , which
points to the application to apply the filter to., is used when you need apply a number of filters.  It
takes , configuration key , (plus any global
configuration overrides you want).  , is a list of filters
ended by an application, like:,If you want to get the configuration without creating the application,
you can use the , function, which is just like the
, function except it returns the configuration that would
be used, as a dictionary.  Both global and local configuration is
combined into a single dictionary, but you can look at just one or the
other with the attributes , and ,.,
are a distribution and installation format produced by , and
, that adds metadata to a
normal Python package (among other things).,You don't need to understand a whole lot about Eggs to use them.  If
you have a , , script, just change:,to:,Now when you install the package it will be installed as an egg.,The first important part about an Egg is that it has a
,.  This is formed from the name of your distribution
(the , keyword argument to ,), and you can specify a
specific version.  So you can have an egg named ,, or
, to specify a specific version.,The second is ,.  These are references to Python objects
in your packages that are named and have a specific protocol.
""Protocol"" here is just a way of saying that we will call them with
certain arguments, and expect a specific return value.  We'll talk
more about the protocols ,.,The important part here is how we define entry points.  You'll add an
argument to , like:,This defines two applications named , and ,.  You can
then refer to these by , (or just ,,
since , is the default) and ,.,The values are instructions for importing the objects.  , is
located in the , module, in an object named
,.,There's no way to add configuration to objects imported as Eggs.,This lets you point to factories (that obey the specific protocols we
mentioned).  But that's not much use unless you can create factories
for your applications.,There's a few protocols: ,,
,, ,, and lastly
,.  Each of these expects a callable (like a
function, method, or class).,The application is the most common.  You define one like:,The , is a dictionary, and local configuration is
passed as keyword arguments.  The function returns a WSGI application.,Composites are just slightly more complex:,The , argument is an object that has a couple interesting
methods.  , return a WSGI
application with the given name.  , and ,
work the same way.,A more interesting example might be a composite factory that does
something.  For instance, consider a ""pipeline"" application:,Then we use it like:,Filter factories are just like app factories (same signature), except
they return filters.  Filters are callables that take a WSGI
application as the only argument, and return a ""filtered"" version of
that application.,Here's an example of a filter that checks that the , CGI
variable is set, creating a really simple authentication filter:,This is very similar to ,, except that it also
takes a , argument, and returns a WSGI application.  So if
you changed the above example to:,Then , would serve as a filter_app_factory
(, is a required local configuration key in this
case).,This takes the same signature as applications and filters, but returns
a server.,A server is a callable that takes a single argument, a WSGI
application.  It then serves the application.,An example might look like:,The implementation of , is left to the user.,Like ,, except , is passed as the
first argument, and the server should run immediately."
name,content
Babel,"Babel,Babel is an integrated collection of utilities that assist in
internationalizing and localizing Python applications, with an emphasis on
web-based applications.,The user documentation explains some core concept of the library and gives
some information about how it can be used.,The API reference lists the full public API that Babel provides.,
  Babel is a collection of tools for internationalizing Python applications.
,
  You can download the documentation in other formats as well:
"
name,content
imagesize,"Search code, repositories, users, issues, pull requests...,
        Provide feedback
      ,
        Saved searches
      ,shibukawa/imagesize_py,Name already in use,imagesize,We read every piece of feedback, and take your input very seriously.,
            To see all available qualifiers, see our ,.
          ,
        Use Git or checkout with SVN using the web URL.
    ,
      Work fast with our official CLI.
      ,.
    ,
                Please
                ,
                to use Codespaces.
              ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,Your codespace will open once ready.,There was a problem preparing your codespace, please try again.,This module analyzes JPEG/JPEG 2000/PNG/GIF/TIFF/SVG/Netpbm/WebP image headers and returns image size or DIP.,This module is a pure Python module. You can use file like object like file or something like ,.,Returns image size (width, height).,Returns image DPI (width, height).,It only parses headers, and ignores pixel data. So it is much faster than Pillow.,I tested on MacBookPro (2014/Core i7) with 125kB PNG files.,Run test with the following command:,MIT License,I referred to the following code:,I use sample image from here:,Thank you for feedback:"
name,content
mypy-extensions,"Search code, repositories, users, issues, pull requests...,
        Provide feedback
      ,
        Saved searches
      ,python/mypy_extensions,Name already in use,Mypy Extensions,We read every piece of feedback, and take your input very seriously.,
            To see all available qualifiers, see our ,.
          ,
        Extensions for mypy
      ,
        Use Git or checkout with SVN using the web URL.
    ,
      Work fast with our official CLI.
      ,.
    ,
                Please
                ,
                to use Codespaces.
              ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,Your codespace will open once ready.,There was a problem preparing your codespace, please try again.,The , module defines extensions to the Python standard
library , module that are supported by the mypy type checker and
the mypyc compiler.,
      Extensions for mypy
    "
name,content
distro,"Search code, repositories, users, issues, pull requests...,
        Provide feedback
      ,
        Saved searches
      ,python-distro/distro,Name already in use,Distro - an OS platform information API,We read every piece of feedback, and take your input very seriously.,
            To see all available qualifiers, see our ,.
          ,
        A much more elaborate replacement for removed Python's `platform.linux_distribution()` method
      ,
        Use Git or checkout with SVN using the web URL.
    ,
      Work fast with our official CLI.
      ,.
    ,
                Please
                ,
                to use Codespaces.
              ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,Your codespace will open once ready.,There was a problem preparing your codespace, please try again.,
,
,
,
,
,
, provides information about the
OS distribution it runs on, such as a reliable machine-readable ID, or
version information.,It is the recommended replacement for Python's original
,
function (removed in Python 3.8). It also provides much more functionality
which isn't necessarily Python bound, like a command-line interface.,Distro currently supports Linux and BSD based systems but , is also planned.,For Python 2.6 support, see ,Installation of the latest released version from PyPI:,Installation of the latest development version:,To use as a standalone script, download , directly:, is safe to vendor within projects that do not wish to add
dependencies.,On top of the aforementioned API, several more functions are available. For a complete description of the
API, see the ,.,An alternative implementation became necessary because Python 3.5 deprecated
this function, and Python 3.8 removed it altogether. Its predecessor function
,
was already deprecated since Python 2.6 and removed in Python 3.8. Still, there
are many cases in which access to that information is needed. See , for more information.,The , package implements a robust and inclusive way of retrieving the
information about a distribution based on new standards and old methods,
namely from these data sources (from high to low precedence):, is supported and tested on Python 3.6+ and PyPy and on any
distribution that provides one or more of the data sources covered.,This package is tested with test data that mimics the exact behavior of the data sources of ,.,Pull requests are always welcome to deal with specific distributions or just
for general merriment.,See , for contribution info.,Reference implementations for supporting additional distributions and file
formats can be found here:,
      A much more elaborate replacement for removed Python's `platform.linux_distribution()` method
    "
