name,content
Scrapy,"An open source and collaborative framework for extracting the data you need from websites.
      ,In a fast, simple, yet extensible way.,
        Maintained by
        ,
        (formerly Scrapinghub)
        and
        ,
      , , Scrapy 2.8.0 ,Terminal,Build and run your,Terminal,Deploy them to,or use , to host the spiders on your own server,write the rules to extract the data and let Scrapy do the rest,extensible by design, plug new functionality easily without having to touch the core,written in Python and runs on Linux, Windows, Mac and BSD,Maintained by , (formerly Scrapinghub) and "
name,content
nvidia-cusparse-cu11,"CUDA Zone,Get exclusive access to hundreds of SDKs, technical trainings, and opportunities , to connect with millions of like-minded developers, researchers, and students.,Join the NVIDIA Developer Program to watch technical sessions from conferences around the world., ,Explore exclusive discounts for higher education, CUDA® is a parallel computing platform and programming model developed by NVIDIA for general computing on graphical processing units (GPUs). With CUDA, developers are able to dramatically speed up computing applications by harnessing the power of GPUs., In GPU-accelerated applications, the sequential part of the workload runs on the CPU – which is optimized for single-threaded performance – while the compute intensive portion of the application runs on thousands of GPU cores in parallel. When using CUDA, developers program in popular languages such as C, C++, Fortran, Python and MATLAB and express parallelism through extensions in the form of a few basic keywords., The , from NVIDIA provides everything you need to develop GPU-accelerated applications. The CUDA Toolkit includes GPU-accelerated libraries, a compiler, development tools and the CUDA runtime.,Thousands of applications developed with CUDA have been deployed to GPUs in embedded systems, workstations, datacenters and in the cloud., , CUDA serves as a common platform across all NVIDIA GPU families so you can deploy and scale your application across GPU configurations., , , , , The first GPUs were designed as graphics accelerators, becoming more programmable over the 90s, culminating in NVIDIA's first GPU in 1999. Researchers and scientists rapidly began to apply the excellent floating point performance of this GPU for general purpose computing. In 2003, a team of researchers led by Ian Buck unveiled Brook, the first widely adopted programming model to extend C with data-parallel constructs. Ian Buck later joined NVIDIA and led the launch of CUDA in 2006, the world's first solution for general-computing on GPUs., Since its inception, the CUDA ecosystem has grown rapidly to include software development tools, services and partner-based solutions. The , includes libraries, debugging and optimization tools, a compiler and a runtime library to deploy your application. You'll also find code samples, programming guides, user manuals, API references and other documentation to help you get started.,cuRAND,NPP,Math Library,cuFFT,nvGRAPH,NCCL,Nsight,Visual Profiler, CUDA GDB,CUDA MemCheck,OpenACC,CUDA Profiling Tools Interface,CUDA accelerates applications across a wide range of domains from image processing, to deep learning, numerical analytics and computational science.,Get started with CUDA by downloading the CUDA Toolkit and exploring introductory resources including videos, code samples, hands-on labs and webinars."
name,content
nvidia-cudnn-cu11,"CUDA Zone,Get exclusive access to hundreds of SDKs, technical trainings, and opportunities , to connect with millions of like-minded developers, researchers, and students.,Join the NVIDIA Developer Program to watch technical sessions from conferences around the world., ,Explore exclusive discounts for higher education, CUDA® is a parallel computing platform and programming model developed by NVIDIA for general computing on graphical processing units (GPUs). With CUDA, developers are able to dramatically speed up computing applications by harnessing the power of GPUs., In GPU-accelerated applications, the sequential part of the workload runs on the CPU – which is optimized for single-threaded performance – while the compute intensive portion of the application runs on thousands of GPU cores in parallel. When using CUDA, developers program in popular languages such as C, C++, Fortran, Python and MATLAB and express parallelism through extensions in the form of a few basic keywords., The , from NVIDIA provides everything you need to develop GPU-accelerated applications. The CUDA Toolkit includes GPU-accelerated libraries, a compiler, development tools and the CUDA runtime.,Thousands of applications developed with CUDA have been deployed to GPUs in embedded systems, workstations, datacenters and in the cloud., , CUDA serves as a common platform across all NVIDIA GPU families so you can deploy and scale your application across GPU configurations., , , , , The first GPUs were designed as graphics accelerators, becoming more programmable over the 90s, culminating in NVIDIA's first GPU in 1999. Researchers and scientists rapidly began to apply the excellent floating point performance of this GPU for general purpose computing. In 2003, a team of researchers led by Ian Buck unveiled Brook, the first widely adopted programming model to extend C with data-parallel constructs. Ian Buck later joined NVIDIA and led the launch of CUDA in 2006, the world's first solution for general-computing on GPUs., Since its inception, the CUDA ecosystem has grown rapidly to include software development tools, services and partner-based solutions. The , includes libraries, debugging and optimization tools, a compiler and a runtime library to deploy your application. You'll also find code samples, programming guides, user manuals, API references and other documentation to help you get started.,cuRAND,NPP,Math Library,cuFFT,nvGRAPH,NCCL,Nsight,Visual Profiler, CUDA GDB,CUDA MemCheck,OpenACC,CUDA Profiling Tools Interface,CUDA accelerates applications across a wide range of domains from image processing, to deep learning, numerical analytics and computational science.,Get started with CUDA by downloading the CUDA Toolkit and exploring introductory resources including videos, code samples, hands-on labs and webinars."
name,content
nvidia-cuda-nvrtc-cu11,"CUDA Zone,Get exclusive access to hundreds of SDKs, technical trainings, and opportunities , to connect with millions of like-minded developers, researchers, and students.,Join the NVIDIA Developer Program to watch technical sessions from conferences around the world., ,Explore exclusive discounts for higher education, CUDA® is a parallel computing platform and programming model developed by NVIDIA for general computing on graphical processing units (GPUs). With CUDA, developers are able to dramatically speed up computing applications by harnessing the power of GPUs., In GPU-accelerated applications, the sequential part of the workload runs on the CPU – which is optimized for single-threaded performance – while the compute intensive portion of the application runs on thousands of GPU cores in parallel. When using CUDA, developers program in popular languages such as C, C++, Fortran, Python and MATLAB and express parallelism through extensions in the form of a few basic keywords., The , from NVIDIA provides everything you need to develop GPU-accelerated applications. The CUDA Toolkit includes GPU-accelerated libraries, a compiler, development tools and the CUDA runtime.,Thousands of applications developed with CUDA have been deployed to GPUs in embedded systems, workstations, datacenters and in the cloud., , CUDA serves as a common platform across all NVIDIA GPU families so you can deploy and scale your application across GPU configurations., , , , , The first GPUs were designed as graphics accelerators, becoming more programmable over the 90s, culminating in NVIDIA's first GPU in 1999. Researchers and scientists rapidly began to apply the excellent floating point performance of this GPU for general purpose computing. In 2003, a team of researchers led by Ian Buck unveiled Brook, the first widely adopted programming model to extend C with data-parallel constructs. Ian Buck later joined NVIDIA and led the launch of CUDA in 2006, the world's first solution for general-computing on GPUs., Since its inception, the CUDA ecosystem has grown rapidly to include software development tools, services and partner-based solutions. The , includes libraries, debugging and optimization tools, a compiler and a runtime library to deploy your application. You'll also find code samples, programming guides, user manuals, API references and other documentation to help you get started.,cuRAND,NPP,Math Library,cuFFT,nvGRAPH,NCCL,Nsight,Visual Profiler, CUDA GDB,CUDA MemCheck,OpenACC,CUDA Profiling Tools Interface,CUDA accelerates applications across a wide range of domains from image processing, to deep learning, numerical analytics and computational science.,Get started with CUDA by downloading the CUDA Toolkit and exploring introductory resources including videos, code samples, hands-on labs and webinars."
name,content
Send2Trash,"arsenetar/send2trash,Name already in use,Send2Trash -- Send files to trash on all platforms,natively,all platforms,
        Python library to natively send files to Trash (or Recycle bin) on all platforms.
      ,
        Use Git or checkout with SVN using the web URL.
    ,
      Work fast with our official CLI.
      ,.
    ,
                Please
                ,
                to use Codespaces.
              ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,
    If nothing happens, , and try again.
  ,Your codespace will open once ready.,There was a problem preparing your codespace, please try again.,Send2Trash is a small package that sends files to the Trash (or Recycle Bin) , and on
,. On OS X, it uses native , Cocoa calls or can use pyobjc
with NSFileManager. On Windows, it uses native , call if on Vista or newer and
pywin32 is installed or falls back to , calls. On other platforms, if ,
and , are available, it will use this.  Otherwise, it will fallback to its own implementation of
the ,., is used to access native libraries, so no compilation is necessary.,Send2Trash supports Python 2.7 and up (Python 3 is supported).,Additional help is welcome for supporting this package.  Specifically help with the OSX and Linux
issues and fixes would be most appreciated.,You can download it with pip:,To install with pywin32 or pyobjc required specify the extra nativeLib:,or you can download the source from , and install it with:,On Freedesktop platforms (Linux, BSD, etc.), you may not be able to efficiently
trash some files. In these cases, an exception ,
is raised, so that the application can handle this case. This inherits from
, (, on Python 2). Specifically, this affects
files on a different device to the user's home directory, where the root of the
device does not have a , directory, and we don't have permission to
create a , directory.,For any other problem, , is raised.,
      Python library to natively send files to Trash (or Recycle bin) on all platforms.
    "
